STEPS	TIME[ms]	ERROR
4	20.507	0.0	
7	31.441	0.0	
5	21.769	0.0	
6	27.082	0.0	
8	33.214	0.0	
7	26.957	0.0	
4	20.348	0.0	
4	19.527	0.0	
9	39.413	0.0	
4	21.718	0.0	
11	43.372	0.0	
6	26.658	0.0	
6	27.291	0.0	
5	22.529	0.0	
5	23.949	0.0	
1	10.057	0.0	
4	20.075	0.0	
4	20.788	0.0	
5	22.519	0.0	
4	22.412	0.0	
6	25.932	0.0	
8	27.747	0.0	
7	26.754	0.0	
9	33.626	0.0	
5	366.228	0.0	
5	26.74	0.0	
6	30.016	0.0	
8	28.688	0.0	
4	20.679	0.0	
4	20.893	0.0	
9	34.343	0.0	
